siteID,elevation,inclination,precipitation,CACO3,humidity,light,Ndep,SR,SR_oligo
1,1219,13.09,1705.8,6,2.975,3.43181818181818,11.55217,42,8
2,1103,13.09,1576.9,6,2.769230769,3.72093023255814,13.86112,56,6
3,1115,2.86,1604.6,6,2.933333333,3.71875,11.60225,38,8
4,1270,3.2,1699.1,6,2.844827586,3.67647058823529,10.7243,39,6
5,1411,15.62,1911.1,6,2.744897959,3.52941176470588,10.39853,62,29
6,802,12.98,1422.3,3,2.666666667,3.75,15.65466,30,6
7,814,5.05,1346.4,2,3,3.71428571428571,16.22028,28,2
8,1410,11.4,1917.2,6,2.608695652,3.61224489795918,9.968203,58,20
9,759,13.52,1396.2,3,2.817073171,3.80952380952381,17.917,28,1
10,732,8.11,1321.6,4,2.857142857,3.68292682926829,26.09159,48,5
11,627,11.18,1096.6,3,2.972222222,3.71052631578947,14.9151,33,1
12,1072,12.6,1511.3,6,2.961538462,3.29545454545455,16.77007,59,1
13,1445,9.47,1396.9,4,3.422222222,3.53061224489796,9.745251,52,15
14,1011,27.2,1291,4,2.488888889,3.66,10.51302,39,7
15,815,5.05,1448.5,2,3.022222222,3.61224489795918,30.92974,50,4
16,635,17.88,1086.1,3,3.05,3.65625,16.44792,34,3
17,839,3.04,1493.5,2,3.171875,3.32352941176471,26.74218,38,2
18,1214,21.95,1545,4,2.821428571,3.60606060606061,20.04791,30,3
19,764,20.2,1283.1,4,3.067567568,3.225,12.34106,51,11
20,1284,12.98,1459.1,6,3.0875,3.60869565217391,9.443169,42,2
21,1197,21.43,1526.6,4,2.975,3.67391304347826,10.3712,52,5
22,1226,9.04,1680.4,6,2.75,3.84375,17.26099,39,9
23,1482,16.05,1274.1,4,3.153061224,3.50943396226415,6.594643,55,18
24,1563,11.98,1657.5,4,3.083333333,3.6,9.111668,45,10
25,1275,24.36,1427,4,2.661971831,3.57692307692308,10.60328,73,25
26,1046,28.12,1489.3,4,2.743589744,3.68181818181818,13.43528,56,18
27,1817,13.52,1778,4,3.066666667,3.63636363636364,8.483066,34,8
28,1578,33.64,1657,4,3.244897959,2.94230769230769,8.657795,51,13
29,1189,16.84,1503,4,3.171875,3.54054054054054,11.47052,34,4
30,1450,20,1911.2,2,3.828125,3.31428571428571,11.6611,41,9
31,759,14.98,1298.3,4,2.944444444,3.01785714285714,13.45284,47,3
32,1189,11.05,1484.5,2,3.14516129,3.58823529411765,14.90529,35,2
33,1500,20.54,1585.9,4,3.023076923,3.35294117647059,10.44263,61,14
34,984,14.3,1510.9,6,3.02,3.48148148148148,16.59514,43,5
35,1422,40.51,1096.1,1,2.739583333,3.42307692307692,7.70284,48,11
36,1782,14.04,1607.3,4,3.108695652,3.63013698630137,8.061741,71,30
37,1288,23.13,1505.6,6,2.806818182,3.68,11.81189,47,11
38,1379,20.02,1804.9,4,3.326923077,3.45614035087719,11.68164,76,17
39,686,9.52,1377.2,2,2.885714286,3.69444444444444,15.81274,38,2
40,1715,11.05,1482.7,3,3.209677419,3.85294117647059,7.774612,55,16
41,1419,19.4,1734.1,2,3.08974359,3.41860465116279,12.03069,51,21
42,1399,14.85,802.1,2,2.53,3.6,8.537378,58,18
43,1408,5.05,1455.6,4,3.135135135,3.62790697674419,9.629991,48,6
44,1240,34.66,1429.4,6,3.13,3.31481481481481,10.7949,51,21
45,671,8.11,1188.9,4,3.14893617,3.41176470588235,19.14723,53,2
46,1483,21.95,1443.1,4,2.9,3.69565217391304,10.61772,39,8
47,1495,27.95,1786.2,6,2.833333333,3.69565217391304,11.28287,53,22
48,851,13.27,1355.7,3,3.193548387,3.29411764705882,19.20329,27,1
49,1146,34.59,1637,6,2.913793103,3.51515151515152,13.44573,36,5
50,732,12.6,1289.8,4,2.967741935,3.65714285714286,32.02397,33,2
51,1641,34.66,906.3,1,2.578947368,3.65909090909091,4.985065,53,14
52,1425,24.26,1501.2,6,2.931034483,3.44444444444444,11.99833,61,36
53,971,13.8,1601.6,3,3,3.55263157894737,20.77419,36,3
54,1004,18.94,1679.3,3,2.948275862,3.55882352941176,19.84461,32,5
55,849,23.03,1508.7,3,3.016666667,3.59375,25.23668,40,4
