siteID,aID_SP,N,Deckung
56,21,2,0.1
56,108,3,20
56,109,3,0.1
56,161,4,10
56,178,4,10
56,180,NA,0.1
56,363,4,0.1
56,408,3,0.1
56,425,4,0.5
56,438,4,0.1
56,446,5,0.1
56,618,4,0.1
56,760,3,0.5
56,796,3,0.1
56,928,NA,0.1
56,1056,3,0.1
56,1060,4,20
56,1084,NA,0.5
56,1322,4,3
56,1533,3,0.1
56,1655,3,0.1
56,1661,4,0.1
56,1873,3,0.5
56,1898,2,0.1
56,2179,3,0.1
56,2276,4,3
56,2408,2,3
56,2410,2,0.1
56,2459,4,3
56,2503,4,10
56,2505,3,3
56,2512,4,0.5
56,2513,3,0.5
56,2527,4,0.5
56,2549,3,3
56,2574,2,0.5
56,2593,3,0.5
56,2610,2,20
56,2775,2,0.1
55,85,3,0.1
55,178,4,0.1
55,187,4,0.1
55,363,4,0.5
55,391,4,0.1
55,425,4,0.1
55,438,4,0.5
55,442,3,0.5
55,564,3,0.1
55,579,3,0.1
55,928,NA,0.5
55,1056,3,20
55,1060,4,3
55,1069,3,37.5
55,1276,3,0.1
55,1361,4,0.5
55,1484,3,0.5
55,1533,3,0.5
55,1599,3,10
55,1607,3,0.5
55,1665,3,0.5
55,1674,4,0.5
55,1987,3,3
55,2109,2,0.1
55,7950,NA,3
55,2181,4,3
55,2304,2,3
55,2467,NA,0.1
55,2503,4,0.1
55,2505,3,0.5
55,2512,4,10
55,2527,4,0.5
55,2549,3,20
55,2550,2,0.1
55,2558,4,10
55,2600,4,0.5
55,2610,2,0.5
44,37,2,0.1
44,85,3,0.5
44,87,3,0.1
44,184,2,3
44,761,2,0.1
44,796,3,0.5
44,892,2,0.5
44,922,2,3
44,928,NA,0.5
44,968,4,0.5
44,1049,3,10
44,1056,3,0.5
44,1060,4,0.5
44,1259,2,0.1
44,1268,2,0.1
44,1322,4,0.1
44,1533,3,20
44,1583,2,0.5
44,1599,3,0.1
44,1600,3,0.1
44,1773,2,0.1
44,1793,3,0.5
44,1828,2,0.1
44,1860,3,3
44,1873,3,0.1
44,1898,2,0.5
44,2007,2,0.5
44,2066,3,0.5
44,2109,2,10
44,2113,2,10
44,2125,3,3
44,7950,NA,0.1
44,2193,2,0.1
44,2201,2,0.1
44,2276,4,0.1
44,2292,3,0.1
44,2394,2,0.1
44,2408,2,3
44,2418,3,0.5
44,2459,4,0.1
44,2467,NA,10
44,2505,3,0.1
44,2512,4,0.5
44,2513,3,3
44,2556,3,3
44,2574,2,10
44,2610,2,3
44,2775,2,0.1
29,21,2,0.1
29,178,4,3
29,363,4,0.1
29,438,4,0.1
29,618,4,0.5
29,868,4,0.5
29,928,NA,0.5
29,1056,3,3
29,1060,4,0.5
29,1069,3,10
29,1084,NA,0.5
29,1128,3,0.1
29,1142,3,0.5
29,1150,3,0.5
29,1513,3,0.1
29,1599,3,3
29,1661,4,0.1
29,2056,5,0.5
29,7950,NA,0.5
29,2181,4,0.5
29,2276,4,0.1
29,2278,4,0.1
29,2408,2,3
29,2452,4,0.1
29,2459,4,37.5
29,2460,4,0.1
29,2467,NA,0.5
29,2489,4,0.1
29,2503,4,20
29,2513,3,20
29,2527,4,3
29,2549,3,37.5
29,2574,2,10
29,2610,2,0.1
110,13,3,0.5
110,109,3,10
110,147,3,0.5
110,180,NA,3
110,184,2,3
110,363,4,0.1
110,439,4,0.5
110,522,4,0.1
110,787,3,3
110,892,2,3
110,912,2,3
110,928,NA,10
110,1060,4,3
110,1072,3,3
110,1084,NA,0.5
110,1294,4,0.5
110,1322,4,20
110,1378,3,10
110,1385,4,0.1
110,1477,3,0.5
110,1533,3,0.5
110,1604,2,0.5
110,1690,3,0.5
110,1713,3,3
110,1775,3,0.5
110,1794,2,0.5
110,1860,3,3
110,1892,3,0.5
110,1987,3,0.5
110,2007,2,0.1
110,2045,2,0.5
110,2067,4,0.5
110,2113,2,10
110,2126,3,0.5
110,2163,4,0.5
110,2175,4,0.1
110,2189,2,0.5
110,2304,2,0.5
